Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0,0,0,1,0.01252,0.1
1,0,0,1,0,0,0
0.8,1,1,0,0.2475,0,1
0,1,0,0.1,0,0,0
0,1,0,1,0,0,1
0.9,0.02422,1,0,0,0,0
1,0,0,0,0,0,0
0,0.046,1,0,0,0,0
0,0,0,0.65498,0.4,0,0
0,1,0,0,0,0,0
1,0,0,0,0.44051,0,0
0.99,0.10249,0,0.10355,0.4,0,0
0,1,0.25808,0.6,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0.4,0,0
1,0,0,0,0,0,0
0,0.01679,0.94381,0.4,0.5,0,0
0,0,0,0.74428,0.09153,0,0
1,0,0,1,0.5,0,0
0,1,0,0,0,0,0
0,0,0,1,0.90324,0,0
0,0,0,0.80083,0,0,0
1,0,0,0.94136,0,0,0
0,0,0,0.05951,0,0,0
0,0,0,0,0,0,0
0.72736,1,0,0.5333,0.79877,0,0
1,0,1,0.7,0,0,0
0.91499,0,1,1,0.5,0,0
0,0,1,0.6,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0.97434,0,0
0,0,1,0.9829,0,0,0
0,0,0,0.61121,0.5,0,0
0.97,1,0,0,0,0,0
0,1,0,0.4,1,0,0
0.21,0,0,0,0.5,0,0
1,1,0,0,0,0,0
1,1,0.2,0,0.7,0.25401,0
0,0,0,1,0,0.35452,0
0,0,0,0,1,0,0
1,0,1,1,0.5,0.194,0
0,0.2962,0,0,0,0.07056,0
0,0,0,1,0.03554,0,0
1,0,1,0,0,0,0
0,0,0,0,0.88363,0,0
0,0,0,0,0.89264,0,0
0,0,0,0,0.5,0,0
0,0,0,0,0,0,0
1,1,0.75927,0,0,0,0
0,0,0.60017,1,1,0,0
