Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0.4587,0.17878,0.23442,0.23426,0.12046,0.04,0
0.40518,0.35246,0.356,0.35822,0.20104,0.00348,0
0.4051,0.52774,0.35534,0.35244,0.23844,0.04,0
0.42954,0.54462,0.38534,0.42922,0.30828,8e-05,0
0.4378,0.41652,0.5975,0.31888,0.1751,0.06,0
0.45162,0.23806,0.4864,0.361,0.17162,0,0
0.3616,0.40164,0.34452,0.29596,0.1516,0.0201,0
0.44586,0.31792,0.3659,0.2848,0.274,0.02302,0
0.40686,0.31728,0.47362,0.39426,0.16348,0.04196,0
0.30814,0.42702,0.53394,0.34016,0.03596,0.17368,0.4
0.27996,0.22,0.43868,0.2356,0.12806,0,0.4
0.29742,0.2241,0.29638,0.33354,0.29102,0.01326,0.4
0.43548,0.26,0.3217,0.26106,0.2814,0.02,0.4
0.44004,0.26,0.30984,0.30532,0.1856,0,0.4
0.38024,0.33452,0.32448,0.40102,0.20708,2e-05,0.4
0.36084,0.35984,0.4107,0.29782,0.32862,0.00086,0.4
0.23228,0.31278,0.3014,0.26404,0.28274,0,0.4
0.41586,0.21998,0.26,0.30204,0.31582,0.01086,0.4
0.33312,0.14,0.30512,0.28636,0.0081,0.16634,0.4
0.28142,0.391,0.30468,0.41424,0.21692,0,0.4
0.31074,0.18428,0.29838,0.3753,0.02016,0.04,0.4
0.51932,0.22606,0.28,0.2907,0.31428,6e-05,0.4
0.50672,0.2117,0.3592,0.25386,0.15602,0.01734,0.4
0.38,0.35254,0.42474,0.34392,0.27104,0.02044,0.4
0.36662,0.3861,0.33124,0.37618,0.12014,0.02636,0.4
0.36788,0.2895,0.31088,0.3828,0.16028,0.01996,0.4
0.37872,0.29266,0.2754,0.29118,0.18208,0.06024,0.4
0.34,0.28694,0.2278,0.2764,0.40142,0,0.4
0.2337,0.30456,0.35792,0.32272,0.1326,0.16056,0.4
0.43146,0.31184,0.3,0.30996,0.1669,0,0.4
0.48164,0.21972,0.28978,0.37932,0.23484,0.0118,0.4
0.34634,0.40512,0.41406,0.2971,0.16446,0.01826,0.4
0.34,0.3914,0.3,0.38448,0.13974,0.02,0.4
0.43838,0.21034,0.35912,0.23904,0.35546,0,0.4
0.24328,0.39592,0.31998,0.3004,0.2678,0.02722,0.4
0.2984,0.3671,0.3003,0.33606,0.2314,0.00244,0.4
0.31126,0.23074,0.44,0.39232,0.10262,0.07074,0.4
0.30128,0.34304,0.20008,0.40196,0.21254,0.04706,0.4
0.38734,0.23022,0.3107,0.3296,0.08,0.0468,0.4
0.34672,0.21968,0.34272,0.34564,0.22198,0.00278,0.4
0.35478,0.42516,0.40516,0.3528,0.12084,8e-05,0.4
0.24804,0.3981,0.3211,0.2929,0.39314,0,0.4
0.387,0.42998,0.34614,0.22796,0.34744,0,0.4
0.23426,0.3556,0.36558,0.35608,0.31922,0.02942,0.4506
0.28494,0.44324,0.33634,0.22556,0.19048,0.00616,0.4
