Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
1,0,0,1,0,0.35802,0
1,1,0,0,1,0,0
1,0,1,1,1,0,0
0,0.79855,0,0.666,0,0,0
0,1,1,0,0.3,0,0
1,0,1,0.02886,0,0,0
0,0.15268,0,0,0,0,0
0.6508,0.60869,0,0,0.22713,0.36,0
0,0,0,0,0.1,0.18,0
1,1,0,1,0,0,0
0.2,0,0,1,0.15428,0,0
1,0,1,0.1,0.3,0,0
0,0,0.25,1,0,0,0
1,0,0,0.01822,0.26794,0,0
0,0,0,0,0.37,0,0
1,1,0,0.7,0,0,0
0,0.92912,0.53,1,0,0,0
1,0,0,0.01184,0.55913,0,0
1,1,0,0,0,0.08238,0
0,1,1,0,0,0,0
0.6,0,0,0.19013,0,0,0
0,0,1,0.18095,0.3,0.4,0
0,1,0,0.93,0,0,0
1,0.41677,0,0,0.89427,0.53884,0
1,1,0,1,0,0,0
0,0,1,0.4,0.77,0,0
1,0,0,0,0,0,0
0,1,0.552,0.55,0,0,0
0,0.863,1,0.05861,0.68,0,0
0,0,0,0,0,0,0
0,0.573,0,0.9873,0,0,0
1,0,0.41783,0,0.72,0,0
0,0,1,0,0,0.20708,0
1,0,0,0.4784,0.6,0,0
0,0,0.2961,0,0.2,0,0
0.4,1,0,0.34991,0.12443,0,0
0,0,0,0.6,0,0.04576,0
1,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0.6,0,0,0.65,0
0,0,0,0,0,0,0
0,0.255,1,0.49,0,0,0
1,1,1,0,0,0,0
0.5,0,0,0,0,0.44,0
1,0.911,1,0,0.7,0,0
0,0,0,1,0,0,0
1,0,0.7671,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,0.08397,0,0
0,0.01449,0,0.88,0.32,0.39729,0
