Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0.000890007959263851,1.12128722020413e-16,0,1.14408027202464e-16,0.515130596239925,0.165150187051517
1,0.532237761094615,1,6.67838944129437e-06,1.14408027202464e-16,0,0
0,0.0871184117637909,1,0.958387623388798,1.14408027202464e-16,0,1
1,0,0.508684276639736,0,1.14408027202464e-16,0,0
0.978284941234845,0,0.0172906567443911,0,1.14408027202464e-16,0,1
1,0,1,0.361821179801599,1.14408027202464e-16,0,0
1,0.0811296203847224,1.12128722020413e-16,1,1.14408027202464e-16,0,0
0,0,1.12128722020413e-16,0,1.14408027202464e-16,0,0
0.761104057472568,0.578648411928324,0.541575200850834,0,0.0071545551162573,0,0
0,0.232259448690495,1.12128722020413e-16,0,0.473908738371696,0,0
0,0,1.12128722020413e-16,0,1.14408027202464e-16,0,0
0,0,1,0,1.14408027202464e-16,0,0
0,0,1.12128722020413e-16,0.301156819564748,1.14408027202464e-16,0,0
0,0,0.0167927843154031,0,1.14408027202464e-16,0,0
0,1,1.12128722020413e-16,0.793109693283207,0.00730532994646471,0,0
0,0,1.12128722020413e-16,0,1.14408027202464e-16,0,0
0,1,1.12128722020413e-16,0,1.14408027202464e-16,0,0
1,0,1.12128722020413e-16,0.558926684656824,1.14408027202464e-16,0.468157515243774,0
1,0,1,1,1.14408027202464e-16,0,0
1,0,1.12128722020413e-16,0.508233257969478,1.14408027202464e-16,0,0
0.152574913964892,0.999868296764944,1.12128722020413e-16,0,0.0391572845772855,0,0
1,1,0.539145923156957,0.189374522996485,1.14408027202464e-16,0,0
0,0.205867091917415,1.12128722020413e-16,0,1,0,0
1,0,1.12128722020413e-16,1,1.14408027202464e-16,0,0
0,0,1,0.918388076483908,0.103133659155003,0,0
0,1,0.759114990852012,0,1.14408027202464e-16,0.123018871768492,0
0,0,1.12128722020413e-16,0,1.14408027202464e-16,0.101832337132943,0
0,0,0.197950345175567,0.496343523157367,1.14408027202464e-16,0,0
0,0,1,0,1.14408027202464e-16,0,0
0,0,0.360614670497747,0,1.14408027202464e-16,0.0781981662626305,0
0.681397151400483,0,1.12128722020413e-16,0,1.14408027202464e-16,0,0
0,0,1.12128722020413e-16,0.930800683069284,0.1329203782052,0,0
0,0,0.687981826816567,0.00564801363850442,0.392046769702565,0,0
0.0222670113268936,0,1.12128722020413e-16,0.63369918179709,0.153296001429063,0,0
0,1,1.12128722020413e-16,0,0.702948577607923,0.127462643529069,0
1,0,1.12128722020413e-16,0.375437098302443,0.475040328994627,0.358326499765378,0
0,1,1.12128722020413e-16,0.0876350842079232,1.14408027202464e-16,0,0
0.131622365106931,0,0.025088762606299,0,1.14408027202464e-16,0,0
0,1,1,0,1.14408027202464e-16,0,0
1,0.785041692511862,1.12128722020413e-16,0,0.137392756798523,0.416442612371127,0
0,0.958908439208163,1.12128722020413e-16,1,1.13422435226442e-08,0.412466255695598,0
0.0667085023778022,0,1,0.205839479844763,0.504232496558287,0.107452061273923,0
0,0,0.0408447855676538,0,1.14408027202464e-16,0,0
0,1,1,0,0.568004574221097,0,0
1,0,0.472863484336925,5.3009652930624e-09,1.14408027202464e-16,0.418513992036986,0
0,0,1.12128722020413e-16,0,1.14408027202464e-16,0,0
0,0,0.525852210910061,0,0.365710171790433,0,0
1,0,0.132353686378737,0.950940839874218,1.14408027202464e-16,0,0
0,0,1.12128722020413e-16,0.703344089886822,1.14408027202464e-16,0,0
0,0.9912824799153,1,0,1.14408027202464e-16,0,0
